Title,Original_Price,Offer_Price,Stars_out_of_5,Ratings,Flipkart_Assured,Specification
"realme 11x 5G (Midnight Black, 128 GB)","₹18,999","₹13,999",4.3,"15,012 Ratings & 991 Reviews",Yes,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"POCO M6 5G (Galactic Black, 128 GB)","₹13,999","₹10,999",4.3,"7,944 Ratings & 500 Reviews",Yes,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera5000 mAh BatteryMediatek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"vivo T2x 5G (Black Gladiator, 128 GB)","₹20,999","₹14,999",4.3,"64,632 Ratings & 3,898 Reviews",Yes,8 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories
"MOTOROLA g24 Power (Ink blue, 128 GB)","₹11,999","₹7,999",4.2,941 Ratings & 126 Reviews,Yes,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP + 2MP | 16MP Front Camera6000 mAh BatteryHelio G85 Processor1 Year on Handset and 6 Months on Accessories
"Infinix Note 30 5G (Magic Black, 128 GB)","₹17,999","₹14,999",4.1,"4,226 Ratings & 442 Reviews",Yes,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.22 cm (6.78 inch) Full HD+ Display108 MP + 2 MP+ AI Lens | 16MP Front Camera5000 mAh Li-ion Polymer BatteryDimensity 6080 Processor1 Year on Handset and 6 Months on Accessories
"POCO M6 5G (Orion Blue, 128 GB)","₹13,999","₹10,999",4.3,"7,944 Ratings & 500 Reviews",Yes,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera5000 mAh BatteryMediatek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme C51 (Mint Green, 128 GB)","₹11,999","₹8,999",4.3,"71,800 Ratings & 3,178 Reviews",Yes,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD Display50MP + 0.08MP | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"POCO M6 5G (Orion Blue, 128 GB)","₹12,999","₹9,999",4.3,"10,560 Ratings & 750 Reviews",Yes,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera5000 mAh BatteryMediatek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Motorola g84 5G (Marshmallow Blue, 256 GB)","₹22,999","₹17,999",4.2,"33,047 Ratings & 3,449 Reviews",Yes,12 GB RAM | 256 GB ROM16.64 cm (6.55 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 Processor1 Year on Handset and 6 Months on Accessories
"Motorola e13 (Cosmic Black, 64 GB)","₹10,999","₹6,499",4.1,"96,674 Ratings & 7,576 Reviews",No,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD+ Display13MP Rear Camera | 5MP Front Camera5000 mAh BatteryUnisoc T606 Processor1 Year on Handset and 6 Months on Accessories
